N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-27,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-27,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
-----,기본,용산고깃집,https://m.place.naver.com/restaurant/36132502,열정도고깃집,,2024-08-27 16:38:08,"53,000+","52,000+","51,000+","49,000+","49,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 1,674개","블 1,673개","블 1,673개","블 1,671개","블 1,671개",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"방 2,609개","방 2,597개","방 2,596개","방 2,585개","방 2,579개",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,용산고깃집,https://m.place.naver.com/restaurant/1797480699,남도돼지촌,,2024-08-27 16:37:18,"33,000+","30,000+","29,000+","26,000+","25,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,블 166개,블 162개,블 154개,블 149개,블 149개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,방 49개,방 47개,방 46개,방 46개,방 45개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,신용산맛집,https://m.place.naver.com/restaurant/1259072075/home?entry=pll,카츠신보 신용산,,2024-08-06 22:19:10,"33,000+","32,000+","31,000+","31,000+","31,000+","31,000+","31,000+","31,000+","30,000+","29,000+","28,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"블 2,071개","블 2,071개","블 2,077개","블 2,077개","블 2,085개","블 2,118개","블 2,127개","블 2,127개","블 2,188개","블 2,200개","블 2,203개",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,방 739개,방 738개,방 732개,방 726개,방 722개,방 721개,방 715개,방 711개,방 710개,방 708개,방 707개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N사_플레이스 저장 체크,그룹,검색어,매칭값,플레이스명,메모,등록일,09-09,09-05,09-02,08-29,08-26,08-22,08-19,08-15,08-12,08-08,08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-----,기본,용산역맛집,https://m.place.naver.com/restaurant/1219613352/home?entry=pll,주도락 신용산본점,,2024-08-06 22:17:55,"22,000+","22,000+","21,000+","20,000+","19,000+","18,000+","17,000+","15,000+","13,000+","11,000+","11,000+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,블 642개,블 635개,블 631개,블 626개,블 624개,블 618개,블 614개,블 611개,블 607개,블 603개,블 602개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"방 1,389개","방 1,386개","방 1,381개","방 1,347개","방 1,343개","방 1,339개","방 1,331개","방 1,311개","방 1,303개","방 1,280개","방 1,278개",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
